codigoFipe,modelo,anoModelo1,anoReferencia1,valor1,anoModelo2,anoReferencia2,valor2
038002-4,Legend 3.2/3.5,1998,2016,31067.0,1998,2019,26381.0
038002-4,Legend 3.2/3.5,1998,2016,31067.0,1998,2015,29124.0
038001-6,NSX 3.0,1995,2013,52339.0,1995,2018,43081.0
038003-2,Integra GS 1.8,1992,2018,12423.0,1992,2019,11433.0
038002-4,Legend 3.2/3.5,1998,2016,31067.0,1998,2017,29258.0
038001-6,NSX 3.0,1995,2013,52339.0,1995,2013,51758.0
038003-2,Integra GS 1.8,1992,2018,12423.0,1992,2016,13083.0
038003-2,Integra GS 1.8,1992,2018,12423.0,1992,2021,11750.0
038003-2,Integra GS 1.8,1992,2018,12423.0,1992,2022,11789.0
038002-4,Legend 3.2/3.5,1998,2016,31067.0,1998,2011,36359.0
038002-4,Legend 3.2/3.5,1998,2016,31067.0,1998,2020,25128.0
038003-2,Integra GS 1.8,1992,2018,12423.0,1992,2021,11710.0
038002-4,Legend 3.2/3.5,1998,2016,31067.0,1998,2011,36448.0
038002-4,Legend 3.2/3.5,1998,2016,31067.0,1998,2016,30958.0
038001-6,NSX 3.0,1995,2013,52339.0,1995,2020,40607.0
038002-4,Legend 3.2/3.5,1998,2016,31067.0,1998,2011,34171.0
038003-2,Integra GS 1.8,1992,2018,12423.0,1992,2017,12731.0
038001-6,NSX 3.0,1995,2013,52339.0,1995,2011,61940.0
038001-6,NSX 3.0,1995,2013,52339.0,1995,2014,49818.0
038003-2,Integra GS 1.8,1992,2018,12423.0,1992,2018,11928.0
038003-2,Integra GS 1.8,1992,2018,12423.0,1992,2022,11753.0
038003-2,Integra GS 1.8,1992,2018,12423.0,1992,2021,11499.0
038001-6,NSX 3.0,1995,2013,52339.0,1995,2011,61897.0
038001-6,NSX 3.0,1995,2013,52339.0,1995,2017,46347.0
038001-6,NSX 3.0,1995,2013,52339.0,1995,2014,50661.0
038003-2,Integra GS 1.8,1992,2018,12423.0,1992,2013,14508.0
038001-6,NSX 3.0,1995,2013,52339.0,1995,2012,53521.0
038003-2,Integra GS 1.8,1992,2018,12423.0,1992,2017,12856.0
038003-2,Integra GS 1.8,1992,2018,12423.0,1992,2012,16115.0
038001-6,NSX 3.0,1995,2013,52339.0,1995,2014,49728.0
038001-6,NSX 3.0,1995,2013,52339.0,1995,2013,51434.0
038003-2,Integra GS 1.8,1992,2018,12423.0,1992,2013,14023.0
038003-2,Integra GS 1.8,1992,2018,12423.0,1992,2021,10961.0
038003-2,Integra GS 1.8,1992,2018,12423.0,1992,2016,13123.0
038002-4,Legend 3.2/3.5,1998,2016,31067.0,1998,2018,27704.0
038003-2,Integra GS 1.8,1992,2018,12423.0,1992,2019,11664.0
038001-6,NSX 3.0,1995,2013,52339.0,1995,2016,47843.0
038003-2,Integra GS 1.8,1992,2018,12423.0,1992,2022,12226.0
038002-4,Legend 3.2/3.5,1998,2016,31067.0,1998,2010,37574.0
038002-4,Legend 3.2/3.5,1998,2016,31067.0,1998,2016,30212.0
038001-6,NSX 3.0,1995,2013,52339.0,1995,2019,42064.0
038001-6,NSX 3.0,1995,2013,52339.0,1995,2011,62332.0
038001-6,NSX 3.0,1995,2013,52339.0,1995,2012,58953.0
038003-2,Integra GS 1.8,1992,2018,12423.0,1992,2012,15852.0
038003-2,Integra GS 1.8,1992,2018,12423.0,1992,2012,15011.0
038002-4,Legend 3.2/3.5,1998,2016,31067.0,1998,2016,30648.0
038003-2,Integra GS 1.8,1992,2018,12423.0,1992,2021,10931.0
038002-4,Legend 3.2/3.5,1998,2016,31067.0,1998,2022,28009.0
038002-4,Legend 3.2/3.5,1998,2016,31067.0,1998,2021,24831.0
038001-6,NSX 3.0,1995,2013,52339.0,1995,2014,51150.0
038002-4,Legend 3.2/3.5,1998,2016,31067.0,1998,2015,29287.0
038001-6,NSX 3.0,1995,2013,52339.0,1995,2011,61646.0
038001-6,NSX 3.0,1995,2013,52339.0,1995,2016,46553.0
038002-4,Legend 3.2/3.5,1998,2016,31067.0,1998,2021,24897.0
038002-4,Legend 3.2/3.5,1998,2016,31067.0,1998,2021,26917.0
038003-2,Integra GS 1.8,1992,2018,12423.0,1992,2020,11051.0
038001-6,NSX 3.0,1995,2013,52339.0,1995,2019,41870.0
038003-2,Integra GS 1.8,1992,2018,12423.0,1992,2020,11144.0
038003-2,Integra GS 1.8,1992,2018,12423.0,1992,2020,11336.0
038003-2,Integra GS 1.8,1992,2018,12423.0,1992,2013,14215.0
038002-4,Legend 3.2/3.5,1998,2016,31067.0,1998,2011,34950.0
038002-4,Legend 3.2/3.5,1998,2016,31067.0,1998,2010,35956.0
038001-6,NSX 3.0,1995,2013,52339.0,1995,2016,48010.0
038001-6,NSX 3.0,1995,2013,52339.0,1995,2017,46128.0
038001-6,NSX 3.0,1995,2013,52339.0,1995,2019,41950.0
038003-2,Integra GS 1.8,1992,2018,12423.0,1992,2012,15301.0
038003-2,Integra GS 1.8,1992,2018,12423.0,1992,2010,16485.0
038003-2,Integra GS 1.8,1992,2018,12423.0,1992,2022,12129.0
038001-6,NSX 3.0,1995,2013,52339.0,1995,2015,49338.0
038002-4,Legend 3.2/3.5,1998,2016,31067.0,1998,2018,28305.0
038001-6,NSX 3.0,1995,2013,52339.0,1995,2020,41313.0
038002-4,Legend 3.2/3.5,1998,2016,31067.0,1998,2017,28834.0
038001-6,NSX 3.0,1995,2013,52339.0,1995,2017,45572.0
038002-4,Legend 3.2/3.5,1998,2016,31067.0,1998,2013,32202.0
038002-4,Legend 3.2/3.5,1998,2016,31067.0,1998,2013,32166.0
038001-6,NSX 3.0,1995,2013,52339.0,1995,2010,62787.0
038002-4,Legend 3.2/3.5,1998,2016,31067.0,1998,2014,30703.0
038003-2,Integra GS 1.8,1992,2018,12423.0,1992,2013,14550.0
038003-2,Integra GS 1.8,1992,2018,12423.0,1992,2020,11208.0
038003-2,Integra GS 1.8,1992,2018,12423.0,1992,2010,15928.0
038003-2,Integra GS 1.8,1992,2018,12423.0,1992,2011,16064.0
038003-2,Integra GS 1.8,1992,2018,12423.0,1992,2015,13682.0
038001-6,NSX 3.0,1995,2013,52339.0,1995,2015,49196.0
038003-2,Integra GS 1.8,1992,2018,12423.0,1992,2020,11304.0
038003-2,Integra GS 1.8,1992,2018,12423.0,1992,2017,12649.0
038001-6,NSX 3.0,1995,2013,52339.0,1995,2018,44519.0
038002-4,Legend 3.2/3.5,1998,2016,31067.0,1998,2010,35684.0
038001-6,NSX 3.0,1995,2013,52339.0,1995,2013,52005.0
038002-4,Legend 3.2/3.5,1998,2016,31067.0,1998,2012,30505.0
038002-4,Legend 3.2/3.5,1998,2016,31067.0,1998,2012,30487.0
038002-4,Legend 3.2/3.5,1998,2016,31067.0,1998,2022,28148.0
038002-4,Legend 3.2/3.5,1998,2016,31067.0,1998,2019,25587.0
038002-4,Legend 3.2/3.5,1998,2016,31067.0,1998,2012,35872.0
038002-4,Legend 3.2/3.5,1998,2016,31067.0,1998,2020,25161.0
038003-2,Integra GS 1.8,1992,2018,12423.0,1992,2011,15583.0
038002-4,Legend 3.2/3.5,1998,2016,31067.0,1998,2016,30746.0
038003-2,Integra GS 1.8,1992,2018,12423.0,1992,2011,15714.0
038003-2,Integra GS 1.8,1992,2018,12423.0,1992,2011,16100.0
038002-4,Legend 3.2/3.5,1998,2016,31067.0,1998,2010,35921.0
038001-6,NSX 3.0,1995,2013,52339.0,1995,2022,45419.0
038003-2,Integra GS 1.8,1992,2018,12423.0,1992,2021,10871.0
038001-6,NSX 3.0,1995,2013,52339.0,1995,2010,63281.0
038001-6,NSX 3.0,1995,2013,52339.0,1995,2020,40841.0
038002-4,Legend 3.2/3.5,1998,2016,31067.0,1998,2015,29516.0
038003-2,Integra GS 1.8,1992,2018,12423.0,1992,2021,11165.0
