id,codigoFipe,marca,modelo,anoModelo,mesReferencia,anoReferencia,valor
523322,005108-0,VW - VolksWagen,Parati 1.6 Mi/ 1.6 Mi City,2004,7,2019,16928.0
523323,005276-0,VW - VolksWagen,Gol (novo) 1.6 Mi Total Flex 8V 4p,2015,11,2018,31412.0
523324,005314-7,VW - VolksWagen,Golf  BLACK EDITON 2.0 Mi T. Flex 8V Tip,2013,6,2021,47685.0
523325,005419-4,VW - VolksWagen,CROSSFOX  I MOTION 1.6 T. Flex 16V 5p,2018,11,2021,63249.0
523326,005097-0,VW - VolksWagen,Quantum Evidence 2.0 Mi,1999,10,2018,11112.0
523327,005414-3,VW - VolksWagen,Gol Special 1.0 Total Flex 8V 5p,2016,2,2018,31233.0
523328,005092-0,VW - VolksWagen,Passat 2.8 V6 Mec.,2001,9,2021,18332.0
523329,005128-4,VW - VolksWagen,Gol 2.0 Mi 4p,2002,4,2022,18260.0
523330,005112-8,VW - VolksWagen,Passat 2.8 V6 Tiptronic,2005,3,2022,27592.0
523331,005307-4,VW - VolksWagen,Fox 1.0 Mi Total Flex 8V 3p,2014,3,2019,30521.0
523332,005363-5,VW - VolksWagen,Gol SELEÇÃO 1.6 Total Flex 8V 5p,2015,1,2018,36240.0
523333,005290-6,VW - VolksWagen,Polo 1.6 E-Flex 8V 5p,2013,11,2018,34980.0
523334,005394-5,VW - VolksWagen,Gol Comfort. I MOTION 1.6 T. Flex 8V 5p,2018,6,2020,39904.0
523335,005467-4,VW - VolksWagen,Golf Variant Comfort. 1.4 TSI T.Flex Aut,2017,6,2021,87058.0
523336,005522-0,VW - VolksWagen,VIRTUS GTS 1.4 TSI 16V Flex 4p,2022,7,2021,126500.0
523337,005057-1,VW - VolksWagen,Pointer GLi 2.0,1996,12,2020,9014.0
523338,005128-4,VW - VolksWagen,Gol 2.0 Mi 4p,2002,9,2018,16476.0
523340,005389-9,VW - VolksWagen,Gol Comfortline 1.0 T. Flex 8V 3p,2015,1,2021,27973.0
523342,005524-7,VW - VolksWagen,Nivus Launching Ed. 1.0 200 TSI Flex Aut,2022,8,2020,99600.0
523343,005241-8,VW - VolksWagen,Kombi Escolar/50 anos 1.4 Mi Total Flex,2014,7,2018,34900.0
523344,005154-3,VW - VolksWagen,Bora 2.0/ 2.0 Flex 8v Aut.,2011,2,2019,30748.0
523345,005038-5,VW - VolksWagen,Gol TSi 2000 2p e 4p,1999,4,2018,13199.0
523346,005461-5,VW - VolksWagen,Gol Trendline 1.0 T.Flex 12V 3p,2022,8,2017,36134.0
523347,005246-9,VW - VolksWagen,Saveiro CROSSOVER 1.6 Mi Total Flex 8V,2007,6,2018,19836.0
523348,005161-6,VW - VolksWagen,Saveiro FUN 1.8 99cv/ City e S.Surf  1.6,2004,11,2017,17210.0
523349,005099-7,VW - VolksWagen,Golf GTI VR6/ Golf 2.8 VR6,2003,4,2021,39744.0
523350,005100-4,VW - VolksWagen,Parati Plus/ LS/ S,1990,12,2017,6757.0
523351,005167-5,VW - VolksWagen,Parati 2.0 Mi Tour 8V 112cv 4p,2003,2,2018,18054.0
523352,005237-0,VW - VolksWagen,Passat Variant  2.0 FSI 150cv Tiptron.5p,2007,8,2021,30819.0
523353,005386-4,VW - VolksWagen,Saveiro Trendline 1.6 T.Flex 8V,2022,6,2020,68347.0
523354,005129-2,VW - VolksWagen,Golf 2.0/ 2.0 Mi Flex Aut/Tiptronic.,2014,12,2021,59408.0
523355,005029-6,VW - VolksWagen,Gol 1000i Plus 2p,1997,9,2018,7461.0
523356,005016-4,VW - VolksWagen,Quantum Exclusive 2.0 Mi,1999,2,2021,14535.0
523357,005233-7,VW - VolksWagen,Saveiro SPORTLINE 1.8 Mi Total Flex 8V,2006,4,2020,22811.0
523358,005426-7,VW - VolksWagen,SpaceCross 1.6 Mi Total Flex 16V,2017,4,2021,58633.0
523359,005252-3,VW - VolksWagen,Golf 1.6 Mi Total Flex 8V 4p,2014,5,2022,60578.0
523360,005390-2,VW - VolksWagen,Gol Comfortline 1.0 T. Flex 8V 5p,2016,5,2020,32691.0
523361,005069-5,VW - VolksWagen,VOYAGE GL 1.8 4p (Argentino),1995,6,2022,16125.0
523362,005426-7,VW - VolksWagen,SpaceCross 1.6 Mi Total Flex 16V,2017,1,2019,64982.0
523363,005163-2,VW - VolksWagen,Gol 1.0 Trend/ Power 8V 2p,2003,4,2022,13145.0
523364,005034-2,VW - VolksWagen,Gol GL 1.6 Mi/Star 1.6 e 1.8/Atlanta 1.6,1998,8,2017,9254.0
523365,005056-3,VW - VolksWagen,Pointer GLi 1.8,1996,7,2021,6712.0
523366,005102-0,VW - VolksWagen,Santana CS/CD/CG,1986,12,2019,4621.0
523367,005271-0,VW - VolksWagen,Parati SURF 1.8 Mi Total Flex,2009,7,2017,25911.0
523368,005257-4,VW - VolksWagen,Passat TB 2.0 FSI/TSI 211cv Tiptronic 4p,2015,11,2021,79805.0
523369,005512-3,VW - VolksWagen,VIRTUS Sense 1.6 Flex 16V 5p Aut. (PCD),2022,8,2020,69990.0
523370,005188-8,VW - VolksWagen,Parati CROSSOVER 2.0 8V/ 1.0 16V TB 4p,2005,4,2021,20058.0
523371,005315-5,VW - VolksWagen,Saveiro CROSS 1.6 Mi Total Flex 8V CE,2014,4,2020,39721.0
523372,005026-1,VW - VolksWagen,Apolo GLS/ Vip 1.8,1992,3,2019,6320.0
523374,005212-4,VW - VolksWagen,Fox Sportline/Sports 1.0 Tot.Flex 8V 4p,2007,4,2020,18768.0
523375,005208-6,VW - VolksWagen,Fox Sportline/Sports 1.6/1.6 Tot.Flex 4p,2007,7,2018,21801.0
523376,005406-2,VW - VolksWagen,Fox Trendline 1.6 Flex 8V 5p,2022,7,2018,48492.0
523377,005057-1,VW - VolksWagen,Pointer GLi 2.0,1996,4,2020,8549.0
523378,005435-6,VW - VolksWagen,up! move 1.0 TSI Total Flex 12V 5p,2022,11,2019,53407.0
523379,005200-0,VW - VolksWagen,Fox Plus 1.6Mi/ 1.6Mi Total Flex 8V 3p,2010,3,2020,21986.0
523380,005472-0,VW - VolksWagen,Saveiro Robust 1.6 Total Flex 8V CD,2022,4,2022,96918.0
523381,005177-2,VW - VolksWagen,Polo Classic 1.0 Mi 16v  65cv 4p,2001,7,2019,10031.0
523382,005090-3,VW - VolksWagen,Passat Turbo 1.8 Mec.,2005,1,2019,23124.0
523383,005210-8,VW - VolksWagen,Gol 1.6 Mi Rallye Total Flex 8V 4p,2014,6,2022,45007.0
523384,005520-4,VW - VolksWagen,T-Cross Sense 1.0 TSI Flex 5p Aut.(PCD),2022,11,2020,69990.0
523386,005433-0,VW - VolksWagen,Fox Comfortline 1.0 Flex 12V 5p,2017,11,2019,40420.0
523387,005309-0,VW - VolksWagen,Gol I MOTION 1.6 Mi Total Flex 8V 4p,2015,12,2018,31678.0
523388,005327-9,VW - VolksWagen,JETTA Comfortline 2.0 T.Flex 8V 4p Tipt.,2016,8,2022,78934.0
523389,005065-2,VW - VolksWagen,Saveiro GL 1.8Mi e 1.6/GL/LS/S/ Sunset,1999,1,2019,14063.0
523390,005498-4,VW - VolksWagen,Golf Variant High. 250 1.4 TSI Flex Aut.,2018,4,2021,105107.0
523391,005247-7,VW - VolksWagen,Saveiro SPORTLINE 1.6 Mi Total Flex 8V,2006,12,2018,20716.0
523392,005279-5,VW - VolksWagen,SPACEFOX  SPORTLINE/HIGHLINE 1.6 T.Flex,2015,3,2021,44596.0
523393,005339-2,VW - VolksWagen,Gol BLACK 1.0 Mi Total Flex 8V 4p,2013,3,2021,24058.0
523394,005115-2,VW - VolksWagen,Passat Variant Turbo 1.8 Tiptronic,2005,4,2020,23482.0
523395,005019-9,VW - VolksWagen,Santana Exclusiv 2.0 Mi/ Executivo 2.0i,1999,3,2020,14112.0
523396,005159-4,VW - VolksWagen,Gol 1.0 Mi FUN/ Highway/ Sport 16V  2/4p,2003,11,2021,12692.0
523397,005299-0,VW - VolksWagen,Saveiro TROOPER 1.6 Mi Total Flex 8V,2013,2,2018,30762.0
523398,005134-9,VW - VolksWagen,Passat Turbo 1.8 Tiptronic,2005,12,2018,23257.0
523399,005313-9,VW - VolksWagen,VOYAGE I MOTION COMF/Hghli.1.6 T.Flex 8V,2018,8,2021,49315.0
523400,005410-0,VW - VolksWagen,Saveiro Trendline 1.6 T.Flex 8V CD,2022,6,2018,64248.0
523401,005446-1,VW - VolksWagen,Passat Comfortline 2.0 TSI 220cv Tip.,2022,11,2017,160927.0
523402,005460-7,VW - VolksWagen,up! Run 1.0 Total Flex 12V 5p,2022,2,2018,44359.0
523403,005015-6,VW - VolksWagen,Quantum 2.0 Mi,2002,3,2021,12689.0
523404,005130-6,VW - VolksWagen,Golf 2.0/ 2.0 Mi Flex Comfortline Aut.,2009,8,2022,39476.0
523405,005014-8,VW - VolksWagen,Quantum 1.8 Mi/ 1.8i,2002,1,2018,12946.0
523406,005511-5,VW - VolksWagen,T-Cross 1.0 TSI Flex 12V 5p Mec.,2022,9,2020,87112.0
523407,005182-9,VW - VolksWagen,Gol City 1.6 Mi 8V 4p,2004,5,2022,18516.0
523408,005489-5,VW - VolksWagen,TIGUAN Allspac R-Line 350 TSI 2.0 4x4,2022,7,2019,187984.0
523409,005136-5,VW - VolksWagen,Kombi Lotação 1.6 MPi,2006,7,2021,21814.0
523410,005005-9,VW - VolksWagen,Gol CL 1.6 Mi 2p e 4p,1999,7,2017,10521.0
523411,005459-3,VW - VolksWagen,Saveiro Robust 1.6 Total Flex 8V,2022,4,2018,47614.0
523412,005153-5,VW - VolksWagen,Bora 2.0/ 2.0 Flex 8v Mec.,2011,12,2020,30290.0
523413,005459-3,VW - VolksWagen,Saveiro Robust 1.6 Total Flex 8V,2022,9,2019,51379.0
523414,005074-1,VW - VolksWagen,Passat 2.0,2001,5,2020,18024.0
523415,005369-4,VW - VolksWagen,Golf Comfortline 1.4 TSI 140cv Mec.,2015,1,2021,56502.0
523416,005420-8,VW - VolksWagen,Fusca 2.0 R-Line TSI 16V Aut.,2016,3,2021,105365.0
523417,005119-5,VW - VolksWagen,Gol Furgão 1.6 Mi/ 1.6i/ 1.6,1998,10,2017,8376.0
523418,005070-9,VW - VolksWagen,VOYAGE L/LS/Plus/GLS/S/Sport/Super L.Ang,1995,6,2020,8441.0
523419,005108-0,VW - VolksWagen,Parati 1.6 Mi/ 1.6 Mi City,2004,4,2020,16896.0
523420,005032-6,VW - VolksWagen,Gol CLi / CL/ Copa/ Stones 1.6,1996,1,2019,9018.0
523421,005392-9,VW - VolksWagen,Gol Comfortline 1.6 T. Flex 8V 5p,2018,8,2020,38954.0
523422,005354-6,VW - VolksWagen,Golf Highline 1.4 TSI 140cv Mec.,2015,6,2020,61217.0
523423,005442-9,VW - VolksWagen,SPACEFOX 1.6 Trendline I MOT. T.Flex 8V,2022,4,2018,61639.0
523424,005121-7,VW - VolksWagen,JETTA  GLX III 2.8 VR6,1995,4,2019,8085.0
523425,005356-2,VW - VolksWagen,Golf GTi 2.0 TSI 220cv Aut.,2017,6,2019,118283.0
523426,005058-0,VW - VolksWagen,Pointer GTi 2.0,1996,12,2021,12489.0
523427,005286-8,VW - VolksWagen,SPACEFOX Route 1.6 Mi T.Flex 5p,2010,7,2022,29587.0
523428,005088-1,VW - VolksWagen,Passat 1.8 Mec.,2001,11,2018,14996.0
523429,005030-0,VW - VolksWagen,Gol 1000 Mi Plus 8v 2p e 4p,1999,12,2017,9713.0
523430,005269-8,VW - VolksWagen,Saveiro SURF 1.8 Mi Total Flex 2p,2009,7,2017,24154.0
523431,005008-3,VW - VolksWagen,Parati 1000 Mi 16V 2p e 4p,2003,6,2021,15600.0
523432,005442-9,VW - VolksWagen,SPACEFOX 1.6 Trendline I MOT. T.Flex 8V,2022,9,2017,69013.0
523433,005291-4,VW - VolksWagen,TIGUAN 2.0 TSI 16V 200cv Tiptronic 5p,2016,3,2021,88868.0
523434,005222-1,VW - VolksWagen,Saveiro City 1.8 Mi Total Flex 8V,2009,4,2020,21751.0
523435,005053-9,VW - VolksWagen,Parati GTi 2.0 Mi 16V,2000,7,2022,34439.0
523436,005332-5,VW - VolksWagen,Fox Rock in Rio 1.6 Mi Total Flex 8V 5p,2016,5,2019,40561.0
523437,005061-0,VW - VolksWagen,Quantum GLSi / GLS 1.8/Sport/ Family 2.0,1997,10,2019,14156.0
523438,005526-3,VW - VolksWagen,Nivus Highline 1.0 200 TSI Flex Aut.,2022,1,2022,129728.0
523439,005419-4,VW - VolksWagen,CROSSFOX  I MOTION 1.6 T. Flex 16V 5p,2018,2,2021,51493.0
523440,005168-3,VW - VolksWagen,Grand Saveiro Xtreme/Street  1.6/1.8/2.0,2003,2,2019,14038.0
523441,005215-9,VW - VolksWagen,Saveiro CROSSOVER 1.8 Mi 8V,2005,11,2021,20996.0
523442,005467-4,VW - VolksWagen,Golf Variant Comfort. 1.4 TSI T.Flex Aut,2017,2,2019,83908.0
523443,005463-1,VW - VolksWagen,up! Run I MOTION 1.0 Total Flex 12V 5p,2017,4,2022,52116.0
523444,005069-5,VW - VolksWagen,VOYAGE GL 1.8 4p (Argentino),1995,6,2018,9894.0
523445,005259-0,VW - VolksWagen,Golf Sportline 1.6 Mi Total Flex 8V 4p,2014,11,2020,45827.0
523446,005048-2,VW - VolksWagen,Parati CLi / CL/ Atlanta 1.6,1996,1,2020,8881.0
523447,005140-3,VW - VolksWagen,Saveiro 2.0 Mi,2004,4,2021,20521.0
523448,005450-0,VW - VolksWagen,Golf Highline 1.4 TSI Total Flex Mec.,2017,10,2020,88823.0
523450,005247-7,VW - VolksWagen,Saveiro SPORTLINE 1.6 Mi Total Flex 8V,2006,3,2021,22171.0
523451,005013-0,VW - VolksWagen,Polo Classic/ Special 1.8 Mi,2002,10,2021,12397.0
523452,005426-7,VW - VolksWagen,SpaceCross 1.6 Mi Total Flex 16V,2017,10,2021,70938.0
523453,005436-4,VW - VolksWagen,up! cross 1.0 TSI Total Flex 12V 5p,2019,9,2021,61424.0
523454,005298-1,VW - VolksWagen,Saveiro 1.6 Mi Total Flex 8V CE,2014,2,2019,34066.0
523455,005087-3,VW - VolksWagen,Golf GTI 1.8 Turbo,1999,2,2019,11943.0
523456,005476-3,VW - VolksWagen,Polo Highline 200 TSI 1.0 Flex 12V Aut.,2022,11,2018,77679.0
523457,005423-2,VW - VolksWagen,SPACEFOX COMF. I MOTION 1.6 Flex 8V 5p,2018,4,2019,62652.0
523458,005256-6,VW - VolksWagen,Passat Variant Turbo 2.0 FSI Tiptron. 5p,2015,10,2018,101730.0
523459,005395-3,VW - VolksWagen,Gol Rallye 1.6 T. Flex 16V 5p,2016,8,2022,46645.0
523460,005293-0,VW - VolksWagen,Fox SUNRISE 1.0 Mi Total Flex 8V 5p,2010,4,2021,22221.0
523461,005104-7,VW - VolksWagen,Gol 1.8 Mi,2004,3,2022,15498.0
523462,005488-7,VW - VolksWagen,TIGUAN Allspac 250 TSI 1.4 Flex,2022,9,2020,141634.0
523463,005246-9,VW - VolksWagen,Saveiro CROSSOVER 1.6 Mi Total Flex 8V,2007,3,2021,18380.0
523464,005309-0,VW - VolksWagen,Gol I MOTION 1.6 Mi Total Flex 8V 4p,2015,9,2018,32326.0
523465,005225-6,VW - VolksWagen,CROSSFOX 1.6 Mi Total Flex 8V 5p,2015,11,2021,52579.0
523467,005378-3,VW - VolksWagen,VOYAGE Evidence 1.6 Total Flex 8V 4p,2016,9,2020,39702.0
523468,005294-9,VW - VolksWagen,Polo I MOTION 1.6 Total Flex  5p,2015,4,2018,41175.0
523469,005339-2,VW - VolksWagen,Gol BLACK 1.0 Mi Total Flex 8V 4p,2013,3,2019,22456.0
523470,005475-5,VW - VolksWagen,Saveiro Pepper 1.6 Flex 8V CD,2019,10,2021,80450.0
523471,005220-5,VW - VolksWagen,Parati 1.8 Mi T. Field Total Flex 8V 4p,2008,11,2017,23502.0
523472,005198-5,VW - VolksWagen,Fox City 1.0Mi/ 1.0Mi Total Flex 8V 3p,2010,12,2019,18739.0
523473,005318-0,VW - VolksWagen,Gol SELEÇÃO 1.0 Mi Total Flex 8V 5p,2015,4,2021,31451.0
523474,005055-5,VW - VolksWagen,Pointer 1.8 / CLi,1996,6,2021,6174.0
523475,005154-3,VW - VolksWagen,Bora 2.0/ 2.0 Flex 8v Aut.,2011,9,2020,29965.0
523476,005370-8,VW - VolksWagen,Golf Comfortline 1.4 TSI 140cv Aut.,2015,2,2018,67224.0
523477,005456-9,VW - VolksWagen,Gol Comfortline 1.0 T. Flex 12V 5p,2022,2,2018,46655.0
523478,005303-1,VW - VolksWagen,Fox PRIME/Higli. 1.6 Total Flex 8V 5p,2014,4,2019,33160.0
523479,005300-7,VW - VolksWagen,Saveiro TROOPER 1.6 Mi Total Flex 8V CE,2014,7,2020,35734.0
523480,005516-6,VW - VolksWagen,up! Xtreme 1.0 TSI Total Flex 12V 5p,2022,12,2021,73115.0
523481,005393-7,VW - VolksWagen,Gol Comfort. I MOTION 1.6 T. Flex 8V 3p,2015,2,2020,31619.0
523482,005319-8,VW - VolksWagen,Golf Sportline 2.0 Mi Total F. 8V Tip.,2014,11,2018,47138.0
523483,005309-0,VW - VolksWagen,Gol I MOTION 1.6 Mi Total Flex 8V 4p,2015,1,2022,40287.0
523484,005306-6,VW - VolksWagen,Fox 1.6 Mi Total Flex 8V 5p,2014,5,2019,32137.0
523485,005383-0,VW - VolksWagen,Gol Trendline 1.0 T.Flex 8V 3p,2016,1,2018,29596.0
523486,005397-0,VW - VolksWagen,Gol Trendline 1.6 T.Flex 8V 5p,2018,5,2020,36114.0
523487,005093-8,VW - VolksWagen,Passat Variant 2.8 V6,2000,3,2021,14809.0
523488,005390-2,VW - VolksWagen,Gol Comfortline 1.0 T. Flex 8V 5p,2016,2,2021,33854.0
523489,005311-2,VW - VolksWagen,VOYAGE I MOTION 1.6 Mi Total Flex 8V,2014,7,2018,34956.0
523490,005255-8,VW - VolksWagen,JETTA 2.5 20V 150/170cv Tiptronic,2011,3,2021,42958.0
523491,005232-9,VW - VolksWagen,Parati COMFORTLINE 1.8 Mi Tot.Flex 8V 4p,2007,11,2019,21474.0
523492,005015-6,VW - VolksWagen,Quantum 2.0 Mi,2002,11,2021,15086.0
523493,005242-6,VW - VolksWagen,Parati COMFORTLINE 1.6 Mi Tot.Flex 8V 4p,2007,3,2018,21003.0
523494,005012-1,VW - VolksWagen,Parati GLS 2.0 Mi 2/4p,1999,4,2021,14104.0
523495,005171-3,VW - VolksWagen,Golf GTi 1.8 Mi 180/193cv Turbo 4p Mec.,2009,12,2019,36943.0
523496,005043-1,VW - VolksWagen,Logus 1.8 / CLi / CL,1997,3,2018,7208.0
523497,005219-1,VW - VolksWagen,Parati 1.8 Mi Plus Total Flex 8V 4p,2009,9,2019,22418.0
523498,005215-9,VW - VolksWagen,Saveiro CROSSOVER 1.8 Mi 8V,2005,1,2020,18747.0
523499,005098-9,VW - VolksWagen,Santana Evidenc 2.0 MI,1999,4,2018,12845.0
523500,005018-0,VW - VolksWagen,Santana 2.0 Mi 2p e 4p,2006,10,2021,23681.0
523501,005394-5,VW - VolksWagen,Gol Comfort. I MOTION 1.6 T. Flex 8V 5p,2018,12,2020,40524.0
523502,005321-0,VW - VolksWagen,SPACEFOX  TREND I MOTION 1.6 T. Flex 8V,2015,3,2021,41117.0
523503,005030-0,VW - VolksWagen,Gol 1000 Mi Plus 8v 2p e 4p,1999,5,2022,11509.0
523504,005205-1,VW - VolksWagen,Fox City 1.0 Mi/ 1.0Mi Total Flex 8V 5p,2010,12,2018,21020.0
523505,005218-3,VW - VolksWagen,Parati 1.8 Mi City Total Flex 8V 4p,2005,6,2019,17623.0
523506,005173-0,VW - VolksWagen,Polo 2.0 Mi 116cv 8V 5p,2004,12,2019,15801.0
523507,005324-4,VW - VolksWagen,Gol 1.6 Mi Rallye I MOTION T. Flex 8V 4p,2014,8,2022,44317.0
523508,005486-0,VW - VolksWagen,VIRTUS 1.6 MSI Flex 16V 5p Mec.,2022,4,2019,61901.0
523509,005435-6,VW - VolksWagen,up! move 1.0 TSI Total Flex 12V 5p,2019,7,2022,64324.0
523510,005005-9,VW - VolksWagen,Gol CL 1.6 Mi 2p e 4p,1999,12,2021,12877.0
523511,005480-1,VW - VolksWagen,Fox Xtreme 1.6 Flex 8V 5p,2022,1,2022,71454.0
523512,005216-7,VW - VolksWagen,Gol 1.8 Mi Power Total Flex 8V 4p,2009,2,2021,21275.0
523513,005486-0,VW - VolksWagen,VIRTUS 1.6 MSI Flex 16V 5p Mec.,2022,4,2022,95100.0
523514,005462-3,VW - VolksWagen,Fox RUN 1.6 Flex 8V 5p,2017,10,2021,49751.0
523515,005221-3,VW - VolksWagen,Parati 1.8 Mi CROSSOVER Total Flex 8V 4p,2005,11,2019,20597.0
523516,005292-2,VW - VolksWagen,Passat CC 3.6 V6 FSI 300cv Tiptronic,2014,9,2017,114371.0
523517,005057-1,VW - VolksWagen,Pointer GLi 2.0,1996,12,2018,8121.0
523518,005418-6,VW - VolksWagen,CROSSFOX  1.6 T. Flex 16V 5p,2018,6,2020,50397.0
523519,005369-4,VW - VolksWagen,Golf Comfortline 1.4 TSI 140cv Mec.,2015,10,2019,57742.0
523520,005137-3,VW - VolksWagen,Kombi Escolar 1.6 MPi,2006,4,2020,18785.0
523521,005013-0,VW - VolksWagen,Polo Classic/ Special 1.8 Mi,2002,1,2019,11311.0
523522,005087-3,VW - VolksWagen,Golf GTI 1.8 Turbo,1999,1,2022,13521.0
523523,005296-5,VW - VolksWagen,Polo Sedan I MOTION  1.6 Total Flex  4p,2015,5,2021,37652.0
523524,005028-8,VW - VolksWagen,Gol 1000 (modelo antigo),1996,11,2021,10717.0
523525,005244-2,VW - VolksWagen,Gol COPA 1.6 Mi Total Flex 8V 4p,2006,2,2020,17480.0
523526,005006-7,VW - VolksWagen,Gol CL 1.8 Mi 2p e 4p,1999,12,2017,11481.0
523527,005335-0,VW - VolksWagen,SpaceCross I MOTION 1.6 Mi Total Flex 8V,2015,7,2019,49889.0
523528,005094-6,VW - VolksWagen,Saveiro 1.6 Mi/ 1.6 Mi Total Flex 8V,2015,12,2018,32145.0
523529,005501-8,VW - VolksWagen,VOYAGE 1.6 MSI Flex 16V 4p Aut.,2022,3,2019,59809.0
523530,005370-8,VW - VolksWagen,Golf Comfortline 1.4 TSI 140cv Aut.,2015,12,2019,60117.0
523531,005482-8,VW - VolksWagen,Fox Connect I Motion 1.6 Flex 8V 5p,2022,7,2018,53997.0
523532,005242-6,VW - VolksWagen,Parati COMFORTLINE 1.6 Mi Tot.Flex 8V 4p,2007,8,2018,21297.0
523533,005073-3,VW - VolksWagen,Golf GTi 2.0,1998,3,2018,11866.0
523534,005051-2,VW - VolksWagen,Parati GLi / GL 1.8,1996,6,2022,15570.0
523535,005504-2,VW - VolksWagen,JETTA Comfort. 250 TSI 1.4 Flex 16v Aut.,2022,6,2020,106532.0
523536,005240-0,VW - VolksWagen,Kombi Lotação 1.4 Mi Total Flex 8V,2013,1,2018,32744.0
523537,005249-3,VW - VolksWagen,Polo SPORTLINE 1.6 Mi Total Flex 8V 5p,2015,2,2018,42113.0
523538,005076-8,VW - VolksWagen,Passat Variant VR6 2.8,1996,1,2018,11993.0
523539,005174-8,VW - VolksWagen,Polo 1.0 Mi 79cv 16V 5p,2003,5,2020,13895.0
523540,005262-0,VW - VolksWagen,Fox Route 1.0 Mi Total Flex 8V 3p,2010,10,2018,22196.0
523541,005348-1,VW - VolksWagen,Fusca 2.0 TSI 16V Aut.,2016,5,2022,145262.0
523542,005391-0,VW - VolksWagen,Gol Comfortline 1.6 T. Flex 8V 3p,2015,5,2018,34889.0
523543,005429-1,VW - VolksWagen,SPACEFOX HIGHLINE 1.6 T.Flex 16V,2017,12,2019,56750.0
523544,005014-8,VW - VolksWagen,Quantum 1.8 Mi/ 1.8i,2002,8,2019,12331.0
523545,005363-5,VW - VolksWagen,Gol SELEÇÃO 1.6 Total Flex 8V 5p,2015,3,2021,34429.0
523546,005076-8,VW - VolksWagen,Passat Variant VR6 2.8,1996,10,2020,10316.0
523547,005445-3,VW - VolksWagen,Golf Variant Comfortline 1.4 TSI Mec.,2016,10,2017,79734.0
523548,005474-7,VW - VolksWagen,Saveiro Pepper 1.6 Flex 8V CE,2019,4,2020,58267.0
523549,005051-2,VW - VolksWagen,Parati GLi / GL 1.8,1996,8,2020,9953.0
523550,005342-2,VW - VolksWagen,CROSSFOX I MOTION 1.6 Mi T. Flex 8V 5p,2015,9,2020,43506.0
523551,005370-8,VW - VolksWagen,Golf Comfortline 1.4 TSI 140cv Aut.,2015,1,2022,74774.0
523552,005221-3,VW - VolksWagen,Parati 1.8 Mi CROSSOVER Total Flex 8V 4p,2005,3,2018,21670.0
523553,005429-1,VW - VolksWagen,SPACEFOX HIGHLINE 1.6 T.Flex 16V,2017,8,2018,67112.0
523554,005230-2,VW - VolksWagen,Gol Plus 1.0 Mi Total Flex 2p,2008,3,2022,17184.0
523555,005016-4,VW - VolksWagen,Quantum Exclusive 2.0 Mi,1999,4,2019,13591.0
523556,005233-7,VW - VolksWagen,Saveiro SPORTLINE 1.8 Mi Total Flex 8V,2006,7,2022,32933.0
523557,005458-5,VW - VolksWagen,VOYAGE Comfortline 1.0 T.Flex 12V 4p,2018,10,2020,40447.0
523558,005024-5,VW - VolksWagen,Kombi Standard/ Luxo/ Série Prata,2006,1,2022,25899.0
523559,005209-4,VW - VolksWagen,Golf 1.8 Mi Sport 150cv Turbo Mec/Aut.,2006,6,2022,32964.0
523560,005129-2,VW - VolksWagen,Golf 2.0/ 2.0 Mi Flex Aut/Tiptronic.,2014,11,2019,45993.0
523561,005240-0,VW - VolksWagen,Kombi Lotação 1.4 Mi Total Flex 8V,2013,10,2018,32093.0
523562,005477-1,VW - VolksWagen,Polo Comfort. 200 TSI 1.0 Flex 12V Aut.,2022,1,2018,65552.0
523563,005471-2,VW - VolksWagen,TIGUAN 1.4 TSI 16V 150cv 5p,2017,3,2022,109941.0
523564,005061-0,VW - VolksWagen,Quantum GLSi / GLS 1.8/Sport/ Family 2.0,1997,4,2019,13314.0
